,Year,Name,Episodes,Type
146,2001.0,s.CRY.ed,26,TV
147,2003.0,Shingetsutan Tsukihime,12,TV
148,1993.0,Slam Dunk,101,TV
149,2000.0,Strange Dawn,13,TV
150,2004.0,Tactics,25,TV
151,2004.0,Tenjou Tenge,24,TV
152,2002.0,Tokyo Underground,26,TV
153,2003.0,Triangle Heart: Sweet Songs Forever,4,OVA
154,2005.0,Tsubasa Chronicle,26,TV
155,2003.0,Ultra Maniac,26,TV
156,2002.0,Ultra Maniac OVA,1,OVA
157,2000.0,Vandread,13,TV
158,2001.0,Vandread: The Second Stage,13,TV
159,1996.0,Tenkuu no Escaflowne,26,TV
160,2002.0,Whistle!,39,TV
161,2005.0,Xenosaga The Animation,12,TV
162,1998.0,Initial D First Stage,26,TV
163,1999.0,Initial D Second Stage,13,TV
165,1998.0,Gosenzo San'e,4,OVA
166,2000.0,Love Hina,24,TV
167,2002.0,Love Hina Again,3,OVA
168,2000.0,Love Hina Christmas Special: Silent Eve,1,Special
169,2001.0,Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,1,Special
170,2003.0,Maburaho,24,TV
171,2002.0,Macross Zero,5,OVA
172,2002.0,Onegai☆Teacher,12,TV
173,2003.0,Onegai☆Twins,12,TV
174,2002.0,Rizelmine,24,TV
175,2005.0,Speed Grapher,24,TV
177,2002.0,Tenshi na Konamaiki,50,TV
178,1992.0,Video Girl Ai,6,OVA
179,2003.0,Wolf's Rain,26,TV
180,1999.0,Words Worth,5,OVA
181,2004.0,Yumeria,12,TV
182,2004.0,Samurai Champloo,26,TV
183,1998.0,Lodoss-tou Senki: Eiyuu Kishi Den,27,TV
184,1990.0,Lodoss-tou Senki,13,OVA
185,2001.0,R.O.D: Read or Die,3,OVA
186,2003.0,R.O.D: The TV,26,TV
187,1989.0,Ranma ½,161,TV
188,2001.0,Pure Mail,2,OVA
190,1997.0,Pia Carrot e Youkoso!!,3,OVA
191,1998.0,Pia Carrot e Youkoso!! 2,3,OVA
192,1999.0,Pia Carrot e Youkoso!! 2 DX,6,OVA
194,1994.0,Shin Angel,5,OVA
195,1996.0,Kidou Senkan Nadesico,26,TV
197,1999.0,Kuro no Danshou,4,OVA
198,2000.0,Mezzo Forte,2,OVA
199,2004.0,Mezzo DSA,13,TV
200,1986.0,Dragon Ball,153,TV
201,1996.0,Dragon Ball GT,64,TV
202,2004.0,Elfen Lied,13,TV
203,2000.0,FLCL,6,OVA
204,2005.0,Jigoku Shoujo,26,TV
205,2004.0,Ninin ga Shinobuden,12,TV
206,2003.0,Air Master,27,TV
207,2002.0,Asagiri no Miko,26,TV
208,1998.0,Cardcaptor Sakura,70,TV
209,2000.0,Daa! Daa! Daa!,78,TV
210,2004.0,Dan Doh!!,26,TV
0,1998.0,Cowboy Bebop,26,TV
212,2003.0,E's Otherwise,26,TV
213,2005.0,Koukyoushihen Eureka Seven,50,TV
214,1997.0,Rekka no Honoo,42,TV
215,2004.0,Gankutsuou,24,TV
216,2004.0,Genshiken,12,TV
217,2004.0,Girls Bravo: First Season,11,TV
218,2004.0,Gokusen,13,TV
219,2000.0,Gravitation,13,TV
220,2004.0,Agatha Christie no Meitantei Poirot to Marple,39,TV
221,1999.0,Great Teacher Onizuka,43,TV
222,2001.0,Groove Adventure Rave,51,TV
